                Name	              Artist	               Album	               Genre	      Time
            Farewell	           Sentenced	        Buried Alive	               Metal	      4:18
    Bleed In My Arms	           Sentenced	             Crimson	             Revival	      5:09
             Fragile	           Sentenced	             Crimson	             Revival	      5:55
              Denial	           Sevendust	                Home	  Alternative & Punk	      4:17
         Magnifishit	        Skinny Puppy	           Mythmaker	         Alternative	      4:31
           Politikil	        Skinny Puppy	           Mythmaker	         Alternative	      4:21
       Far Too Frail	        Skinny Puppy	           Remission	    Industrial Dance	      3:43
           Paper Cut	       Soilent Green	       Confrontation	       General Metal	      0:58
        Piece Of Pie	 Stone Temple Pilots	                Core	                Rock	      5:26
           I Got You	 Stone Temple Pilots	               No. 4	                Rock	      4:17
               Detox	 Strapping Young Lad	                City	      Hardcore Metal	      5:37
             Saw Red	             Sublime	       Greatest Hits	Ska Revival/3rd Wave	      1:57
          Doin' Time	             Sublime	       Greatest Hits	Ska Revival/3rd Wave	      4:09
       Last Fortress	            Suidakra	         The Arcanum	 Melodic Death Metal	      4:08
  Song Of The Graves	            Suidakra	   Emprise To Avalon	 Melodic Death Metal	      5:13
  Strayed In Nowhere	            Suidakra	      Lays From Afar	 Melodic Death Metal	      4:21
     Dragons Of Time	           Summoning	             Lugburz	                    	      5:57
              Wicked	          Symphony X	         The Odyssey	               Metal	      5:32
       Paradise Lost	          Symphony X	       Paradise Lost	   Progressive Metal	      6:32
   Smoke and Mirrors	          Symphony X	 Twilight in Olympus	               Metal	      6:08
           Suite-Pee	    System Of A Down	    System Of A Down	         Alternative	      2:32
         Suggestions	    System Of A Down	    System Of A Down	         Alternative	      2:44
                Soil	    System Of A Down	    System Of A Down	         Alternative	      3:25
                Mind	    System Of A Down	    System Of A Down	         Alternative	      6:16
         Big Weekend	           Tom Petty	   Highway Companion	                Rock	      3:15
           Honey Bee	           Tom Petty	         Wildflowers	                    	      4:58
          Oddfellows	            Tomahawk	          Oddfellows	          Indie Rock	      3:29
Rise Up Dirty Waters	            Tomahawk	          Oddfellows	          Indie Rock	      3:06
             Theme 7	               Ulver	 Lyckantropen Themes	          Electronic	      2:38
     We are the Dead	               Ulver	      Perdition City	               Metal	      3:41
      Matrix Odyssey	          Vintersorg	   The Focusing Blur	        General Rock	      4:39
     Recht Vor Gnade	          :Wumpscut:	     Cannibal Anthem	           <Unknown>	      6:11
            Track 07	             X-Dream	                    	                    	      4:48
            Track 08	             X-Dream	                    	                    	      4:40
   Throw It All Away	              Zero 7	          The Garden	         Electronica	      5:22
              D.N.R.	           Zoroaster	             Matador	               Metal	      6:25
          Odyssey II	           Zoroaster	             Matador	               Metal	      3:00
          Necropolis	         The Absence	     From Your Grave	               Metal	      4:21
            Untitled	         The Absence	Riders Of The Plague	               Metal	      0:04
       Event Duality	              Alarum	         Eventuality	       General Metal	      2:12
      Man In The Box	     Alice In Chains	Alice In Blunderland	              Grunge	      4:35
       Sea Of Sorrow	     Alice In Chains	Alice In Blunderland	              Grunge	      5:23
     Bleed The Freak	     Alice In Chains	Alice In Blunderland	              Grunge	      4:04
             Sickman	     Alice In Chains	Alice In Blunderland	              Grunge	      5:29
            Junkhead	     Alice In Chains	Alice In Blunderland	              Grunge	      5:19
              God Am	     Alice In Chains	     Alice In Chains	              Grunge	      4:08
            So Close	     Alice In Chains	     Alice In Chains	              Grunge	      2:45
            Over Now	     Alice In Chains	     Alice In Chains	              Grunge	      7:06
          Them Bones	     Alice In Chains	Dirty Toy Land 03-03	              Grunge	      2:53
            Junkhead	     Alice In Chains	Dirty Toy Land 03-03	              Grunge	      5:17
            Godsmack	     Alice In Chains	Dirty Toy Land 03-03	              Grunge	      3:54
     Bleed The Freak	     Alice In Chains	Dirty Toy Land 03-03	              Grunge	      4:01
                Dirt	     Alice In Chains	Dirty Toy Land 03-03	              Grunge	      5:24
        Hate To Feel	     Alice In Chains	Dirty Toy Land 03-03	              Grunge	      5:46
         Angry Chair	     Alice In Chains	Dirty Toy Land 03-03	              Grunge	      4:15
        We Die Young	     Alice In Chains	            FaceLift	              Grunge	      2:32
        Put You Down	     Alice In Chains	            FaceLift	              Grunge	      3:16
          Real Thing	     Alice In Chains	            FaceLift	              Grunge	      4:03
       Rooster(Live)	     Alice In Chains	        Nothing Safe	              Grunge	      6:53
What The Hell Have I	     Alice In Chains	        Nothing Safe	              Grunge	      3:58
               Grind	     Alice In Chains	        Nothing Safe	              Grunge	      4:46
    Suffragette City	     Alice In Chains	     Publisher Demos	              Grunge	      3:00
     Social Parasite	     Alice In Chains	     Publisher Demos	              Grunge	      4:25
       Sea Of Sorrow	     Alice In Chains	     Publisher Demos	              Grunge	      5:28
  Queen Of The Rodeo	     Alice In Chains	     Publisher Demos	              Grunge	      4:05
             Brother	     Alice In Chains	                 Sap	              Grunge	      4:28
             Goto 10	          Amon Tobin	           ISAM Live	         Electronica	      4:25
          Night Swim	          Amon Tobin	           ISAM Live	         Electronica	      4:07
             Pitcard	          Aphex Twin	        Chosen Lords	                    	      6:25
             Klopjob	          Aphex Twin	        Chosen Lords	                    	      5:32
            Flaphead	          Aphex Twin	            Classics	                    	      7:00
        Metapharstic	          Aphex Twin	            Classics	                    	      4:33
      Donkey Rhubarb	          Aphex Twin	      Donkey Rhubarb	                    	      6:08
       btoum-roumada	          Aphex Twin	              drukQs	                    	      1:58
  kladfvgbung micshk	          Aphex Twin	              drukQs	                    	      2:06
               QKThr	          Aphex Twin	              drukQs	                    	      1:27
              Inkey$	          Aphex Twin	            Girl/Boy	                    	      1:24
             73-Yips	          Aphex Twin	                  On	                    	      4:19
     On [µ-Ziq Mix]	          Aphex Twin	          On Remixes	                    	      8:44
               Mourn	   Apoptygma Berzerk	            7 [2002]	  General Industrial	      5:33
      Beyond Forlorn	               Arsis	Starve For The Devil	               Metal	      4:01
     Sick Perfection	               Arsis	Starve For The Devil	               Metal	      3:55
 At War With Reality	        At The Gates	 At War With Reality	               Metal	      3:08
Language Of The Dead	        At The Gates	 At War With Reality	               Metal	      4:09
     City Of Mirrors	        At The Gates	 At War With Reality	               Metal	      2:05
       Eater Of Gods	        At The Gates	 At War With Reality	               Metal	      3:50
   The Night Eternal	        At The Gates	 At War With Reality	               Metal	      5:37
   I'll Be That Girl	    Barenaked Ladies	               Stunt	                Folk	      3:33
     Call And Answer	    Barenaked Ladies	               Stunt	                Folk	      5:48
       Blooded Shore	             Bathory	         Nordland II	   Black/Death Metal	      5:46
  Blackened the USSR	          Beatallica	          Beatallica	              Satire	      3:19
             Runaway	       Beats Antique	     Blind Threshold	               Other	      5:05
       Another World	        Beborn Beton	               Truth	                Rock	      4:27
          Conspiracy	        Beborn Beton	               Truth	                Rock	      4:45
       Game of Fools	        Beborn Beton	               Truth	                Rock	      4:28
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
             [Blank]	            Behemoth	            Satanica	               Metal	      0:04
  War Of The Thrones	      Blind Guardian	 At The Edge Of Time	         Power Metal	      4:55
 Trial By The Archon	      Blind Guardian	  Battalions Of Fear	         Heavy Metal	      1:44
      Wizard's Crown	      Blind Guardian	  Battalions Of Fear	         Heavy Metal	      3:50
   Gandalf's Rebirth	      Blind Guardian	  Battalions Of Fear	         Heavy Metal	      2:10
          Hallelujah	      Blind Guardian	         Bright Eyes	         Heavy Metal	      3:20
      Ashes To Ashes	      Blind Guardian	               Demos	         Heavy Metal	      5:51
   Lord Of The Rings	      Blind Guardian	               Demos	         Heavy Metal	      2:44
    Hall Of The King	      Blind Guardian	    Follow The Blind	         Heavy Metal	      4:17
      Beyond The Ice	      Blind Guardian	    Follow The Blind	         Heavy Metal	      3:30
         Bright Eyes	      Blind Guardian	 The Forgotten Tales	         Heavy Metal	      4:19
   Lord Of The Rings	      Blind Guardian	 The Forgotten Tales	         Heavy Metal	      3:56
          The Wizard	      Blind Guardian	 The Forgotten Tales	         Heavy Metal	      3:15
        War Of Wrath	      Blind Guardian	                Live	         Heavy Metal	      1:54
           Nightfall	      Blind Guardian	                Live	         Heavy Metal	      6:20
   Harvest Of Sorrow	      Blind Guardian	                Live	         Heavy Metal	      3:56
         Bright Eyes	      Blind Guardian	                Live	         Heavy Metal	      5:26
  Wait For An Answer	      Blind Guardian	A Night At The Opera	         Heavy Metal	      6:30
   Harvest Of Sorrow	      Blind Guardian	A Night At The Opera	         Heavy Metal	      3:42
La Cosecha Del Dolor	      Blind Guardian	A Night At The Opera	         Heavy Metal	      3:39
     Frutto Del Buio	      Blind Guardian	A Night At The Opera	         Heavy Metal	      3:39
       Black Chamber	      Blind Guardian	Somewhere Far Beyond	         Heavy Metal	      0:58
         Inquisition	      Blind Guardian	         Tokyo Tales	         Heavy Metal	      0:49
    Traveler In Time	      Blind Guardian	         Tokyo Tales	         Heavy Metal	      6:42
    Welcome To Dying	      Blind Guardian	         Tokyo Tales	         Heavy Metal	      5:56
         Barbara Ann	      Blind Guardian	         Tokyo Tales	         Heavy Metal	      2:56
           Delicious	             Borgore	        Delicious LP	                    	      5:04
           Ice Cream	             Borgore	                    	             Dubstep	      2:40
    Gods Of My World	           Borknagar	          Empiricism	               Metal	      4:26
    The Black Canvas	           Borknagar	          Empiricism	               Metal	      5:18
   Inherit The Earth	           Borknagar	          Empiricism	               Metal	      5:29
           Liberated	           Borknagar	          Empiricism	               Metal	      4:51
             Circled	           Borknagar	                Epic	   Black/Death Metal	      4:46
          The Wonder	           Borknagar	                Epic	   Black/Death Metal	      4:18
 Light Speed Transit	       Break Science	       Monolith Code	                    	      4:41
          Puppy Time	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      2:58
    Religion's Weird	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      2:05
     Monkey Birthday	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      2:34
  No Dirty Magazines	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      1:29
  Show A Little Neck	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      1:54
            The News	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      1:39
       Yelling Stuff	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      4:57
 Titannica Interview	        Brian Posehn	  Live In: Nerd Rage	              Comedy	      2:57
    Pray For Plagues	Bring Me The Horizon	Count Your Blessings	           Deathcore	      4:21
15 Fathoms, Counting	Bring Me The Horizon	Count Your Blessings	           Deathcore	      1:56
      Off The Heezay	Bring Me The Horizon	Count Your Blessings	           Deathcore	      5:39
 Mars Within [Intro]	     Bruce Dickinson	    Tyranny Of Souls	         Heavy Metal	      1:29
     Kill Devil Hill	     Bruce Dickinson	    Tyranny Of Souls	         Heavy Metal	      5:07
Perpetual Conversion	        Brutal Truth	  Birth of Ignorance	            Rock/Pop	      3:34
           Blockhead	        Brutal Truth	  Birth of Ignorance	            Rock/Pop	      1:15
           A.C./B.T.	        Brutal Truth	    Ill Neglect (EP)	           Grindcore	      0:44
              Zombie	        Brutal Truth	  Kill Trend Suicide	                    	      2:40
  Kill Trend Suicide	        Brutal Truth	  Kill Trend Suicide	                    	     15:07
            Ironlung	        Brutal Truth	     Need To Control	                Rock	      4:21
         Media Blitz	        Brutal Truth	     Need To Control	                Rock	      0:56
          Crawlspace	        Brutal Truth	     Need To Control	                Rock	      1:34
 Close One Yesterday	         Buju Banton	        Inna Heights	              Reggae	      4:22
         Buju Moving	         Buju Banton	         Mr. Mention	                    	      3:39
    Better Must Come	         Buju Banton	    Unchained Spirit	              Reggae	      4:12
          No Respect	         Buju Banton	    Voice Of Jamaica	              Reggae	      4:04
              Pepper	    Butthole Surfers	   Electriclarryland	  Alternative & Punk	      4:57
   My Brother's Wife	    Butthole Surfers	   Electriclarryland	  Alternative & Punk	      5:13
             Obey Me	    Callenish Circle	Flesh Power Dominion	  Thrash/Speed Metal	      5:15
            Bleeding	    Callenish Circle	Flesh Power Dominion	  Thrash/Speed Metal	      5:56
    They Have Chosen	    Callenish Circle	Flesh Power Dominion	  Thrash/Speed Metal	      4:35
       Pull The Plug	    Callenish Circle	Flesh Power Dominion	  Thrash/Speed Metal	      4:49
        Golden Tanks	         Cancer Bats	  Birthing The Giant	                Punk	      3:46
    French Immersion	         Cancer Bats	  Birthing The Giant	                Punk	      3:10
      Firecrack This	         Cancer Bats	  Birthing The Giant	                Punk	      3:29
        Diamond Mine	         Cancer Bats	  Birthing The Giant	                Punk	      4:14
  At The Gallows End	          Candlemass	      Essential Doom	               Metal	      5:45
        No Love Lost	             Carcass	           Heartwork	                Rock	      3:22
Arbeit Macht Fleisch	             Carcass	           Heartwork	                Rock	      4:21
   Children of Bodom	   Children of Bodom	   Children of Bodom	 Melodic Death Metal	      5:13
         Hatebreeder	   Children of Bodom	         Hatebreeder	 Melodic Death Metal	      4:17
        Wrath Within	   Children of Bodom	         Hatebreeder	 Melodic Death Metal	      3:51
   Children of Bodom	   Children of Bodom	         Hatebreeder	 Melodic Death Metal	      5:13
        Needled 24/7	   Children of Bodom	        Needled 24/7	 Melodic Death Metal	      4:08
   Deadnight Warrior	   Children of Bodom	     Tokyo Warhearts	 Melodic Death Metal	      3:32
          Kalandéro	    Cirque Du Soleil	            Alegría	               Opera	      5:19
      Jeux d'enfants	    Cirque Du Soleil	            Alegría	               Opera	      4:41
     Fuck Bulldozers	          Clam Fight	            Volume I	               Metal	      5:22
             Postman	              Cragga	                    	                    	      4:01
          Patchworks	           Dan Swano	           Moontower	         Death Metal	      5:00
    The Endless Feed	   Dark Tranquillity	           Character	         Death Metal	      4:43
         Senses Tied	   Dark Tranquillity	           Character	         Death Metal	      4:02
    Final Resistance	   Dark Tranquillity	         Damage Done	               Metal	      3:01
         Damage Done	   Dark Tranquillity	         Damage Done	               Metal	      3:27
Cathode Ray Sunshine	   Dark Tranquillity	         Damage Done	               Metal	      4:14
             Icipher	   Dark Tranquillity	             Fiction	               Metal	      4:39
    Punsih My Heaven	   Dark Tranquillity	         The Gallery	                    	      4:46
               Haven	   Dark Tranquillity	               Haven	               Metal	      3:32
        Airport Porn	         David Cross	   The Pride Is Back	               Other	      2:19
          High Times	         David Cross	   The Pride Is Back	               Other	      3:51
  Eternity Too Short	         Decapitated	            Nihility	         Death Metal	      4:30
  Spheres Of Madness	         Decapitated	            Nihility	         Death Metal	      5:11
      Babylons Pride	         Decapitated	            Nihility	         Death Metal	      4:13
   Winds of Creation	         Decapitated	   Winds of Creation	         Death Metal	      4:13
    Way to Salvation	         Decapitated	   Winds of Creation	         Death Metal	      3:54
       Bloodtrocuted	            Dethklok	       The Dethalbum	               Metal	      2:18
       Internal Fire	          Dissection	        Reinka∞¶s	       General Metal	      3:20
          The Mauler	       Divine Empire	 Method of Execution	               Metal	      3:55
         Terror Zone	       Divine Empire	 Method of Execution	               Metal	      3:57
        The Prophecy	          Dream Evil	        dragonslayer	                Rock	      4:17
       Incantation I	      Edge Of Sanity	          Crimson II	               Metal	      1:04
      Incantation II	      Edge Of Sanity	          Crimson II	               Metal	      0:42
       Incantation V	      Edge Of Sanity	          Crimson II	               Metal	      0:46
 Passage of Time VII	      Edge Of Sanity	          Crimson II	               Metal	      0:59
  Passage of Time IX	      Edge Of Sanity	          Crimson II	               Metal	      0:54
The Silent Threat IV	      Edge Of Sanity	          Crimson II	               Metal	      0:36
     Achilles Heel I	      Edge Of Sanity	          Crimson II	               Metal	      0:49
      Face to Face I	      Edge Of Sanity	          Crimson II	               Metal	      1:12
    Disintegration I	      Edge Of Sanity	          Crimson II	               Metal	      0:43
         Aftermath I	      Edge Of Sanity	          Crimson II	               Metal	      0:41
         Aftermath V	      Edge Of Sanity	          Crimson II	               Metal	      1:29
              Enigma	      Edge Of Sanity	          Unorthodox	       General Metal	      7:05
 The Day Of Maturity	      Edge Of Sanity	          Unorthodox	       General Metal	      3:44
   Requiscon By Page	      Edge Of Sanity	          Unorthodox	       General Metal	      1:24
          Supercoven	     Electric Wizard	          Supercoven	               Metal	     13:13
      The Somber Lay	           Eluveitie	              Slania	               Metal	      4:00
       Slania's Song	           Eluveitie	              Slania	               Metal	      5:40
           Elembivos	           Eluveitie	              Slania	               Metal	      6:28
           Tegernako	           Eluveitie	              Spirit	  Celtic/Pagan Metal	      6:42
               Druid	           Eluveitie	                Vên	                    	      6:17
Return To Yggdrasill	            Enslaved	                 ISA	       General Metal	      5:39
          Neogenesis	            Enslaved	                 ISA	       General Metal	     11:58
 Dr. Who Meets Metal	               Erock	       Meeting Metal	                    	      4:28
      Soul Search Me	            Exhorder	             The Law	                Rock	      4:50
    Got That Feeling	       Faith No More	   Album Of The Year	   Alternative Metal	      2:20
    Land Of Sunshine	       Faith No More	          Angel Dust	           Rap Metal	      3:44
                  RV	       Faith No More	          Angel Dust	   Alternative Metal	      3:43
                  RV	       Faith No More	          Angel Dust	           Rap Metal	      3:43
 Smaller And Smaller	       Faith No More	          Angel Dust	           Rap Metal	      5:11
 Everything's Ruined	       Faith No More	          Angel Dust	   Alternative Metal	      4:33
        Kindergarten	       Faith No More	          Angel Dust	           Rap Metal	      4:31
        Kindergarten	       Faith No More	          Angel Dust	   Alternative Metal	      4:31
       Be Aggressive	       Faith No More	          Angel Dust	           Rap Metal	      3:42
     A Small Victory	       Faith No More	          Angel Dust	           Rap Metal	      4:57
        Crack Hitler	       Faith No More	          Angel Dust	   Alternative Metal	      4:39
          Jizzlobber	       Faith No More	          Angel Dust	   Alternative Metal	      6:38
     Midnight Cowboy	       Faith No More	          Angel Dust	   Alternative Metal	      4:12
     Underwater Love	       Faith No More	      The Real Thing	   Alternative Metal	      3:51
       We Care A Lot	       Faith No More	       We Care A Lot	    Alternative Rock	      4:09
          Mark Bowen	       Faith No More	       We Care A Lot	    Alternative Rock	      3:33
                 Jim	       Faith No More	       We Care A Lot	    Alternative Rock	      1:15
       Arabian Disco	       Faith No More	       We Care A Lot	    Alternative Rock	      3:18
          The Egoism	 Fleshgod Apocalypse	               Agony	               Metal	      6:22
        The Betrayal	 Fleshgod Apocalypse	               Agony	               Metal	      5:31
       The Forsaking	 Fleshgod Apocalypse	               Agony	               Metal	      5:37
  I'm Deep Like That	       Frankie Bones	    You Know My Name	   Electronica/Dance	      3:28
          Vorwärts!	         Funker Vogt	           Navigator	  General Electronic	      3:50
         Compulsions	         Funker Vogt	            Survivor	          Electronic	      5:37
            We Swarm	      The Glitch Mob	         Elektrafone	         Electronica	      5:57
              Galois	        Gordian Knot	        Gordian Knot	   Progressive Metal	      2:03
               Grace	        Gordian Knot	        Gordian Knot	               Metal	      7:25
      Kids With Guns	            Gorillaz	          Demon Days	            Trip Hop	      3:45
      Feel Good Inc.	            Gorillaz	          Demon Days	            Trip Hop	      3:41
             Fist Up	            Gramatik	     #digitalfreedom	          Glitch-Hop	      4:34
    Dreams About Her	            Gramatik	    Dreams About Her	            Trip-Hop	      5:31
     Defying Gravity	            Gramatik	        No Shortcuts	          Electronic	      4:36
     Damage Intended	            Gramatik	        No Shortcuts	          Electronic	      5:30
    Red Baron Of WW3	            Gramatik	        No Shortcuts	          Electronic	      6:31
           To Get By	            Gramatik	        No Shortcuts	          Electronic	      5:32
The Unfallen Kingdom	            Gramatik	    Water 4 The Soul	            Trip-Hop	      3:47
          No Way Out	            Gramatik	    Water 4 The Soul	            Trip-Hop	      4:20
      Afternoon Soul	            Gramatik	    Water 4 The Soul	            Trip-Hop	      4:16
      Bang Your Head	         Gravediggaz	         6 Feet Deep	         Hip-Hop/Rap	      3:23
           Departure	           Hypocrisy	         The Arrival	               Metal	      5:18
           Dark Saga	          Iced Earth	           Dark Saga	   Progressive Metal	      3:42
           Execution	          Iced Earth	  Framing Armageddon	               Metal	      1:27
     Declaration Day	          Iced Earth	 The Glorious Burden	   Progressive Metal	      4:59
            Die Gier	          In Extremo	 Sünder Ohne Zügel	               Metal	      3:46
   Le 'Or Chiyuchech	          In Extremo	 Sünder Ohne Zügel	               Metal	      3:11
       Ai Vis Lo Lop	          In Extremo	    Weckt Die Toten!	            Folklore	      4:03
     Hiemali Tempore	          In Extremo	    Weckt Die Toten!	            Folklore	      4:18
          Como Poden	          In Extremo	    Weckt Die Toten!	            Folklore	      3:21
Embody the Invisible	           In Flames	              Colony	               Metal	      3:37
     Everlost, Pt. 2	           In Flames	        Lunar Strain	               Metal	      4:16
           In Flames	           In Flames	        Lunar Strain	               Metal	      2:26
Upon an Oaken Throne	           In Flames	        Lunar Strain	               Metal	      5:32
             Drifter	           In Flames	   Reroute to Remain	               Metal	      3:06
     Cloud Connected	           In Flames	   Reroute to Remain	               Metal	      3:39
   Dawn of a New Day	           In Flames	   Reroute to Remain	               Metal	      3:37
  Dismiss the Cynics	           In Flames	   Reroute to Remain	               Metal	      3:37
            Metaphor	           In Flames	   Reroute to Remain	               Metal	      3:38
           Everdying	           In Flames	        Subterranean	               Metal	      4:23
            Timeless	           In Flames	        Subterranean	               Metal	      1:46
          Never Mind	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:05
          Never Mind	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:05
      Nothing to Say	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:28
       U R So Fucked	   Infected Mushroom	   Army of Mushrooms	               Dance	      4:41
     Serve My Thirst	   Infected Mushroom	   Army of Mushrooms	               Dance	      6:46
             I Shine	   Infected Mushroom	   Army of Mushrooms	               Dance	      5:43
             I Shine	   Infected Mushroom	   Army of Mushrooms	               Dance	      5:43
        Drum n Bassa	   Infected Mushroom	   Army of Mushrooms	               Dance	      7:12
        Drum n Bassa	   Infected Mushroom	   Army of Mushrooms	               Dance	      7:12
                 Elm	   Infected Mushroom	           Elm Vinyl	         Psychedelic	      9:24
            eve down	   infected mushroom	           Eve Down 	         Psychedelic	      8:52
    Nation of Wusses	   Infected Mushroom	    Nation of Wusses	           Electonic	      7:02
      Blues Brothers	   Infected Mushroom	           New Title	             default	      8:13
  Against The Stream	           Insomnium	     Across The Dark	 Melodic Death Metal	      6:11
   The Lay Of Autumn	           Insomnium	     Across The Dark	 Melodic Death Metal	      9:08
    Dream Of Mirrors	         Iron Maiden	     Brave New World	               Metal	      9:21
           Rainmaker	         Iron Maiden	      Dance Of Death	           <Unknown>	      3:48
        New Frontier	         Iron Maiden	      Dance Of Death	           <Unknown>	      5:04
The Age Of Innocence	         Iron Maiden	      Dance Of Death	               Metal	      6:10
           Duellists	         Iron Maiden	          Powerslave	               Metal	      6:06
           Ruination	    Job For A Cowboy	           Ruination	               Metal	      4:55
Encircled by Mirrors	    Job for a Cowboy	           Sun Eater	               Metal	      4:46
          Shadowplay	        Joy Division	   Unknown Pleasures	          Indie Rock	      3:53
          Wilderness	        Joy Division	   Unknown Pleasures	          Indie Rock	      2:38
  She's Lost Control	        Joy Division	24 Hour Party People	          Soundtrack	      4:45
            Don't Go	        Judas Priest	      Point Of Entry	               Metal	      3:17
        Livin' It Up	        Kevin Rudolf	         In The City	                Rock	      2:54
   Coffee And Donuts	        Kevin Rudolf	         In The City	                Rock	      3:15
     Black Thumbnail	       Kings Of Leon	Because Of The Times	  Alternative & Punk	      3:59
               Ragoo	       Kings Of Leon	Because Of The Times	  Alternative & Punk	      3:01
                Fans	       Kings Of Leon	Because Of The Times	  Alternative & Punk	      3:36
          The Runner	       Kings Of Leon	Because Of The Times	  Alternative & Punk	      4:16
         Sex On Fire	       Kings of Leon	   Only By The Night	                Rock	      3:26
             Revelry	       Kings of Leon	   Only By The Night	                Rock	      3:23
    07. Kultanainen 	         Korpiklaani	             Karkelo	          Folk Metal	      6:16
        Mother Earth	         Korpiklaani	Spirit of the Forest	          Folk Metal	      4:35
           Iron Fist	         Korpiklaani	          Ukon Wacka	          Indie Rock	      2:51
        Ryyppajaiset	         Korpiklaani	 Voice Of Wilderness	          Folk Metal	      3:03
            Achtung!	             Laibach	                 WAT	          Industrial	      4:06
    The Great Divide	             Laibach	                 WAT	          Industrial	      5:11
            Freebird	      Lynard Skynard	                    	               Blues	      9:07
          Gone Crazy	    Marcy Playground	    Marcy Playground	         Alternative	      2:45
          Smash Lies	           Matisyahu	     EP Ref 09/03/08	                    	      3:24
             One Day	           Matisyahu	               Light	              Reggae	      3:27
             Heights	           Matisyahu	     Live at Stubb's	              Reggae	      3:24
      A Secret Place	            Megadeth	    Cryptic Writings	               Metal	      5:29
            Insomnia	            Megadeth	                Risk	               Metal	      4:34
           Breadline	            Megadeth	                Risk	               Metal	      4:24
       Time: The End	            Megadeth	                Risk	               Metal	      2:26
The House Jack Built	           Metallica	                Load	               Metal	      6:38
     Hero Of The Day	           Metallica	                Load	               Metal	      4:21
                Cure	           Metallica	                Load	               Metal	      4:54
           Mama Said	           Metallica	                Load	               Metal	      5:19
       Leper Messiah	           Metallica	   Master Of Puppets	               Metal	      5:40
 The God That Failed	           Metallica	           Metallica	               Metal	      5:08
 The Struggle Within	           Metallica	           Metallica	               Metal	      3:53
              Escape	           Metallica	  Ride The Lightning	               Metal	      4:23
   The Call Of Ktulu	           Metallica	  Ride The Lightning	               Metal	      8:53
     Of Wolf And Man	           Metallica	        S&M [Disc 1]	               Metal	      4:18
     Until It Sleeps	           Metallica	        S&M [Disc 2]	               Metal	      4:29
   Plague Of Objects	        Misery Index	   Heirs To Thievery	               Metal	      3:08
     Sleeping Giants	        Misery Index	   Heirs To Thievery	               Metal	      2:56
     Day of the Dead	        Misery Index	   Heirs To Thievery	               Metal	      1:50
       Walk Among Us	             Misfits	     American Psycho	            Rock/Pop	      1:23
   This Island Earth	             Misfits	     American Psycho	            Rock/Pop	      2:15
        Mars Attacks	             Misfits	     American Psycho	            Rock/Pop	      2:28
  Speak Of The Devil	             Misfits	     American Psycho	           Punk Rock	      1:47
            Rat Fink	             Misfits	        Collection 2	                rock	      1:52
    Descending Angel	             Misfits	     Famous Monsters	            Rock/Pop	      3:46
   Hollywood Babylon	             Misfits	             Misfits	            Rock/Pop	      2:22
          Earth A.D.	             Misfits	             Misfits	            Rock/Pop	      2:11
 Death Comes Ripping	             Misfits	             Misfits	            Rock/Pop	      1:55
           Wolfblood	             Misfits	             Misfits	            Rock/Pop	      1:11
